Detalhes_Cargo,Localizacao,Nome_da_Empresa,Titulo_da_Vaga
,Granja Viana - SP,ATVI CONSULTORIA,Desenvolvedor RPA
Efetivo CLT,Remoto híbrido in Rio de Janeiro - RJ,MGN,DESENVOLVEDOR RPA Pleno
Efetivo CLT,Home office in Brasília - DF,MIRANTE TECNOLOGIA,Desenvolvedor RPA
Autônomo / PJ,,Ewave do Brasil,Desenvolvedor RPA Senior
,Rio de Janeiro - RJ,Provider It,CONSULTANT - DESENVOLVEDOR RPA PLENO - HÍBRIDO
,,Visagio,Formados - Desenvolvedor(a) RPA Remoto
,Home office in Rio de Janeiro - RJ,Portal Buscar Vagas,Desenvolvedor (RPA) – Macaé RJ –Remoto (48475)
,,Solutis Tecnologias LTDA,Analista Desenvolvedor RPA
,Home office in Florianópolis - SC,SICOOB CENTRAL SC/RS,Desenvolvedor RPA
,,Certsys,Pessoa Desenvolvedora RPA JR
,Home office in São Paulo - SP,Hvar Consulting,Desenvolvedor RPA
Efetivo CLT,Home office in Brasília - DF,MIRANTE TECNOLOGIA,Desenvolvedor RPA Pleno/Sênior
Estágio / Trainee,Rio de Janeiro - RJ,Programa de Estágio Coca-Cola Andina Brasil,ESTAGIARIO - DESENVOLVEDOR RPA - JPGA
,São José do Rio Preto - SP,Sicredi,Desenvolvedor - São José do Rio Preto
Estágio / Trainee,Rio de Janeiro - RJ,Netvagas,Estagiario - desenvolvedor rpa - jpga
